segment_id	cohort	passage_index	oxygen_pct	passage_id	sample_name	grid_index	ploidy	observed_density	observed_log_density	cumulative_end_day	condition	normalized_density_mass
20.5_20.5_20.5	2N	3	20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	1	0.5	9.99314769973045e-13	-27.6317065808329	31	control	4.01734580893671e-14
20.5_20.5_20.5	2N	3	20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	2	0.540201005025126	9.99314769973045e-13	-27.6317065808329	31	control	4.01734580893671e-14
20.5_20.5_20.5	2N	3	20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	3	0.580402010050251	9.99314769973045e-13	-27.6317065808329	31	control	4.01734580893671e-14
20.5_20.5_20.5	2N	3	20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	4	0.620603015075377	9.99314769973045e-13	-27.6317065808329	31	control	4.01734580893671e-14
20.5_20.5_20.5	2N	3	20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	5	0.660804020100503	9.99314769973045e-13	-27.6317065808329	31	control	4.01734580893671e-14
20.5_20.5_20.5	2N	3	20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	6	0.701005025125628	9.99314769973045e-13	-27.6317065808329	31	control	4.01734580893671e-14
20.5_20.5_20.5	2N	3	20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	7	0.741206030150754	9.99314769973045e-13	-27.6317065808329	31	control	4.01734580893671e-14
20.5_20.5_20.5	2N	3	20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	8	0.781407035175879	9.99314769973045e-13	-27.6317065808329	31	control	4.01734580893671e-14
20.5_20.5_20.5	2N	3	20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	9	0.821608040201005	9.99314769973045e-13	-27.6317065808329	31	control	4.01734580893671e-14
20.5_20.5_20.5	2N	3	20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	10	0.861809045226131	9.99314769973045e-13	-27.6317065808329	31	control	4.01734580893671e-14
20.5_20.5_20.5	2N	3	20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	11	0.902010050251256	9.99314769973045e-13	-27.6317065808329	31	control	4.01734580893671e-14
