passage_id	cohort	segment_id	cumulative_start_day	cumulative_end_day	initial_population_size	initial_population_source	n_terminal_population_records	terminal_population_size_median	terminal_population_size_min	terminal_population_size_max	terminal_population_sources	initial_population_measured	terminal_population_measured	population_measurement_complete	source_snapshot
SUM-159_NLS_2N_A5_seed	2N	20.5	0	14	17772025	correctedCount	1	20424642	20424642	20424642	correctedCount	TRUE	TRUE	TRUE	/Users/4482173/Documents/GitHub/soft_coupling/data/InVitroData/cloneid_passaging_sum159_snapshot_20260731.tsv
SUM-159_NLS_2N_A5M_seed	2N	20.5_20.5	14	28	1094514	correctedCount	1	9547021	9547021	9547021	correctedCount	TRUE	TRUE	TRUE	/Users/4482173/Documents/GitHub/soft_coupling/data/InVitroData/cloneid_passaging_sum159_snapshot_20260731.tsv
SUM-159_NLS_2N_dp_seed	2N	20.5_20.5	14	28	1105060	correctedCount	1	10788818	10788818	10788818	correctedCount	TRUE	TRUE	TRUE	/Users/4482173/Documents/GitHub/soft_coupling/data/InVitroData/cloneid_passaging_sum159_snapshot_20260731.tsv
SUM-159_NLS_2N_MRCA_seed	2N	20.5_20.5	14	28	2417319	correctedCount	1	4330380	4330380	4330380	correctedCount	TRUE	TRUE	TRUE	/Users/4482173/Documents/GitHub/soft_coupling/data/InVitroData/cloneid_passaging_sum159_snapshot_20260731.tsv
SUM-159_NLS_2N_A6M_seed	2N	20.5_20.5_20.5	28	31	2656020	correctedCount	1	22134636	22134636	22134636	correctedCount	TRUE	TRUE	TRUE	/Users/4482173/Documents/GitHub/soft_coupling/data/InVitroData/cloneid_passaging_sum159_snapshot_20260731.tsv
SUM-159_NLS_2N_C_A1_seed	2N	20.5_20.5_20.5	28	31	614919	correctedCount	1	7782898	7782898	7782898	correctedCount	TRUE	TRUE	TRUE	/Users/4482173/Documents/GitHub/soft_coupling/data/InVitroData/cloneid_passaging_sum159_snapshot_20260731.tsv
SUM-159_NLS_2N_O1_A1_seed	2N	20.5_20.5_2	28	31	763799	correctedCount	1	6742373	6742373	6742373	correctedCount	TRUE	TRUE	TRUE	/Users/4482173/Documents/GitHub/soft_coupling/data/InVitroData/cloneid_passaging_sum159_snapshot_20260731.tsv
SUM-159_NLS_2N_O2_A1_seed	2N	20.5_20.5_2	28	31	580562	correctedCount	1	6323079	6323079	6323079	correctedCount	TRUE	TRUE	TRUE	/Users/4482173/Documents/GitHub/soft_coupling/data/InVitroData/cloneid_passaging_sum159_snapshot_20260731.tsv
SUM-159_NLS_2N_A7M_K_seed	2N	20.5_20.5_20.5_20.5	31	33	6687683	correctedCount	1	6828616	6828616	6828616	correctedCount	TRUE	TRUE	TRUE	/Users/4482173/Documents/GitHub/soft_coupling/data/InVitroData/cloneid_passaging_sum159_snapshot_20260731.tsv
SUM-159_NLS_2N_C_A2_seed	2N	20.5_20.5_20.5_20.5	31	33	401065	correctedCount	1	4009244	4009244	4009244	correctedCount	TRUE	TRUE	TRUE	/Users/4482173/Documents/GitHub/soft_coupling/data/InVitroData/cloneid_passaging_sum159_snapshot_20260731.tsv
SUM-159_NLS_2N_O1_A2_seed	2N	20.5_20.5_2_1	31	36	404570	correctedCount	2	3572069.5	832980	6311159	correctedCount	TRUE	TRUE	TRUE	/Users/4482173/Documents/GitHub/soft_coupling/data/InVitroData/cloneid_passaging_sum159_snapshot_20260731.tsv
SUM-159_NLS_2N_O2_A2_seed	2N	20.5_20.5_2_1	31	36	366708	correctedCount	2	3463389.5	653483	6273296	correctedCount	TRUE	TRUE	TRUE	/Users/4482173/Documents/GitHub/soft_coupling/data/InVitroData/cloneid_passaging_sum159_snapshot_20260731.tsv
SUM-159_NLS_2N_C_A3_seed	2N	20.5_20.5_20.5_20.5_20.5	33	34	749542	correctedCount	1	6146386	6146386	6146386	correctedCount	TRUE	TRUE	TRUE	/Users/4482173/Documents/GitHub/soft_coupling/data/InVitroData/cloneid_passaging_sum159_snapshot_20260731.tsv
SUM-159_NLS_2N_O1_A3_seed	2N	20.5_20.5_2_1_0.5	36	41	396157	correctedCount	2	4541776.5	1989196	7094357	correctedCount	TRUE	TRUE	TRUE	/Users/4482173/Documents/GitHub/soft_coupling/data/InVitroData/cloneid_passaging_sum159_snapshot_20260731.tsv
SUM-159_NLS_2N_O2_A3_seed	2N	20.5_20.5_2_1_0.5	36	41	402467	correctedCount	2	4872374	2097175	7647573	correctedCount	TRUE	TRUE	TRUE	/Users/4482173/Documents/GitHub/soft_coupling/data/InVitroData/cloneid_passaging_sum159_snapshot_20260731.tsv
