segment_id	cohort	lineage_passage	passage_index	oxygen_pct	selected_day	predicted_mean_chromosome	live_burden_fraction	direct_hypoxia_death_burden_fraction	nonviable_daughter_burden_fraction
20.5	2N	1	1	20.5	14	46.5913939880635	0.807427031431324	5.92079793672469e-05	0.192513760589307
20.5_20.5	2N	2	2	20.5	1	46.6295390504942	0.865567577076573	2.32185534575879e-05	0.134409204369968
20.5_20.5_2	2N	3	4	2	3	47.0168771482971	0.491444922773715	0.00167892300600997	0.506876154220274
20.5_20.5_2_1	2N	4	6	1	5	47.5145271317501	0.445509926695032	0.00371567248902191	0.550774400815949
20.5_20.5_2_1_0.5	2N	5	8	0.5	5	47.9228318631983	0.449698706867974	0.0051160622611186	0.545185230870909
20.5_20.5_2_1_0.5_0.3	2N	6	10	0.3	5	48.3370949558126	0.45263332621768	0.00564622921906795	0.541720444563252
20.5_20.5_2_1_0.5_0.3_0.2	2N	7	12	0.2	5	48.7912907072721	0.455188835910174	0.00590435084285014	0.538906813246973
20.5_20.5_2_1_0.5_0.3_0.2_0.1	2N	8	14	0.1	5	49.2924055394676	0.457870097201125	0.00612047680140241	0.536009425997477
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	2N	9	16	0	5	49.8553781776622	0.4607215476347	0.0062804478133418	0.532998004551958
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0	2N	10	19	0	4	50.3606752078263	0.486379714772812	0.00611681498662264	0.507503470240565
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0	2N	11	21	0	7	51.3711515683112	0.443138263415529	0.00688883999765244	0.549972896586815
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0	2N	12	23	0	5	52.1961557854691	0.47245469872887	0.00676866772273565	0.520776633548394
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0	2N	13	25	0	5	53.1089789804734	0.47718289086536	0.00696557306692812	0.515851536067709
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	2N	14	27	0	7	54.5307035485779	0.459791744569899	0.0076075267192109	0.532600728710893
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	2N	15	28	0	6	55.8709307183284	0.477222799763555	0.00779298059277592	0.514984219643671
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0	2N	16	29	0	7	57.5474976712474	0.477026222659383	0.00834538817504031	0.514628389165575
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0	2N	17	30	0	4	58.5426267642032	0.530339007739303	0.00786622858653208	0.461794763674167
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0	2N	18	31	0	7	60.3065177378813	0.494249092325888	0.00907156155141024	0.496679346122702
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	2N	19	32	0	7	62.0337346649049	0.505949311002927	0.00955537555407694	0.484495313442996
