metric	value
raw_invitro_passage_records	131
raw_passages_with_complete_population_measurement	131
displayed_invitro_population_markers	77
observed_flow_samples	20
displayed_flow_group_timepoints	12
minimum_flow_density_mass_retained_in_ploidy_1_to_5	0.854271335929703
displayed_open_triangle_flow_markers	20
figure1B_flow_layers	0
figure1B_half_violin_groups	10
figure1B_direct_cell_points	255
figure1D_sample_count_labels	0
displayed_4N_scRNA_seq_markers	1
chromosome_count_per_ploidy_unit	22
figure1A_measurement_symbol_size_scale	1
figure1BCD_measurement_symbol_size_scale	0.5
right_panel_spacer_weight	0.005
