parameter	family	parameter_group	transformation	in_vivo_de_initial_and_optimizer	in_vitro_de_initial_and_optimizer	cross_family_direction	direction_agreement	paired_endpoint_to_initial_width90_ratio_max	max_active_bound_fraction	interpretation_limit
lam_max	C01	Division and genome change	log10	DE init 0.244 [0.206, 0.290]; endpoint 0.239 [0.239, 0.239]; bound=0%	DE init 1.33 [1.13, 1.48]; endpoint 1.34 [1.34, 1.34]; bound=0%	lower in vivo	TRUE	0	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
lam_max	C02	Division and genome change	log10	DE init 0.249 [0.211, 0.295]; endpoint 0.244 [0.244, 0.244]; bound=0%	DE init 1.33 [1.13, 1.48]; endpoint 1.34 [1.34, 1.34]; bound=0%	lower in vivo	TRUE	0	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
p_mis_base	C01	Division and genome change	log10	DE init 0.0000104 [0.00000163, 0.0000712]; endpoint 0.00000882 [0.00000503, 0.00000921]; bound=0%	DE init 0.00000292 [0.00000102, 0.0000200]; endpoint 0.00000248 [0.00000148, 0.00000361]; bound=0%	higher in vivo	TRUE	0.51039236633407	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
p_mis_base	C02	Division and genome change	log10	DE init 0.000504 [0.0000350, 0.00289]; endpoint 0.000506 [0.000506, 0.000506]; bound=0%	DE init 0.00000248 [0.00000107, 0.0000142]; endpoint 0.00000248 [0.00000248, 0.00000248]; bound=0%	higher in vivo	TRUE	0.51039236633407	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
p_wgd	C01	Division and genome change	log10	DE init 0.000174 [0.0000456, 0.000560]; endpoint 0.000182 [0.000182, 0.000202]; bound=0%	DE init 0.000323 [0.0000849, 0.000962]; endpoint 0.000339 [0.000304, 0.000339]; bound=0%	lower in vivo	TRUE	0.859964500320647	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
p_wgd	C02	Division and genome change	log10	DE init 0.0000136 [0.0000102, 0.000111]; endpoint 0.0000124 [0.0000124, 0.0000124]; bound=0%	DE init 0.000334 [0.0000229, 0.000941]; endpoint 0.000339 [0.000339, 0.000339]; bound=0%	lower in vivo	TRUE	0.859964500320647	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
p_misseg	C01	Stress-linked missegregation	log10	DE init 0.118 [0.0645, 0.212]; endpoint 0.118 [0.118, 0.118]; bound=0%	DE init 0.0105 [0.00593, 0.0188]; endpoint 0.0105 [0.0105, 0.0105]; bound=0%	higher in vivo	TRUE	0	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
p_misseg	C02	Stress-linked missegregation	log10	DE init 0.164 [0.0911, 0.290]; endpoint 0.164 [0.164, 0.164]; bound=0%	DE init 0.0105 [0.00601, 0.0186]; endpoint 0.0105 [0.0105, 0.0105]; bound=0%	higher in vivo	TRUE	0	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
k_o_mis	C01	Stress-linked missegregation	log10	DE init 0.00103 [0.000266, 0.00394]; endpoint 0.00103 [0.00103, 0.00103]; bound=0%	DE init 0.0000870 [0.0000225, 0.000334]; endpoint 0.0000870 [0.0000870, 0.0000870]; bound=0%	higher in vivo	TRUE	0	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
k_o_mis	C02	Stress-linked missegregation	log10	DE init 0.00306 [0.000852, 0.0109]; endpoint 0.00306 [0.00306, 0.00306]; bound=0%	DE init 0.0000870 [0.0000242, 0.000311]; endpoint 0.0000870 [0.0000870, 0.0000870]; bound=0%	higher in vivo	TRUE	0	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
