context	summary_type	category	n_seed	fraction_seed
in vivo	response_shape	complex_nonmonotone	305	0.61
in vivo	response_shape	inverted_u_shaped	57	0.114
in vivo	response_shape	monotone_increasing	51	0.102
in vivo	response_shape	u_shaped	47	0.094
in vivo	response_shape	approximately_flat	26	0.052
in vivo	response_shape	single_transition_increase_then_plateau	7	0.014
in vivo	response_shape	single_transition_decrease_then_plateau	5	0.01
in vivo	response_shape	monotone_decreasing	2	0.004
in vitro	response_shape	complex_nonmonotone	90	0.18
in vitro	response_shape	inverted_u_shaped	1	0.002
in vitro	response_shape	monotone_increasing	1	0.002
in vitro	response_shape	u_shaped	74	0.148
in vitro	response_shape	approximately_flat	333	0.666
in vitro	response_shape	single_transition_increase_then_plateau	1	0.002
in vitro	response_shape	single_transition_decrease_then_plateau	0	0
in vitro	response_shape	monotone_decreasing	0	0
in vivo	spectral_gap	reliable	147	0.294
in vivo	spectral_gap	caution	161	0.322
in vivo	spectral_gap	unreliable	192	0.384
in vitro	spectral_gap	reliable	306	0.612
in vitro	spectral_gap	caution	184	0.368
in vitro	spectral_gap	unreliable	10	0.02
