rank	fit	seed_number	objective	initial_mean_N	terminal_mean_N	decline_mean_N	max_stress_dead_fraction	max_stress_dead_percent	max_segment_id	max_passage_index	max_oxygen_pct	max_day
1	seed144	144	3.85564658889903	84.2480049421253	80.6892608576688	3.55874408445651	0.0176637009550951	1.76637009550951	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0::O2	29	0	10
2	seed325	325	3.85627606500739	84.93944231411	80.5957829269132	4.34365938719675	0.0171669739694906	1.71669739694906	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0::O2	29	0	10
3	seed180	180	3.85662414950016	84.5769656062168	80.6221424881631	3.95482311805371	0.0176166216838687	1.76166216838687	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0::O2	29	0	10
4	seed362	362	3.85679940073621	84.4692782519123	80.5964773566263	3.87280089528605	0.017541306779174	1.7541306779174	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0::O2	29	0	10
5	seed477	477	3.85681935256351	84.3755901000084	80.592363993702	3.78322610630634	0.0169021705987944	1.69021705987944	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0::O2	29	0	10
6	seed475	475	3.85714012029537	84.5956483975511	80.8532316659945	3.7424167315566	0.0175916511956941	1.75916511956941	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0::O2	29	0	10
7	seed372	372	3.85715616713905	84.4513565889823	80.6010080967152	3.85034849226706	0.0174873998469321	1.74873998469321	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0::O2	29	0	10
8	seed64	64	3.85721146760297	84.5961159225068	80.7938605626596	3.80225535984719	0.0175763803818496	1.75763803818496	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0::O2	29	0	10
9	seed166	166	3.85732581381866	84.559004545303	80.8568533364202	3.7021512088828	0.0175827653366791	1.75827653366791	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0::O2	29	0	10
10	seed207	207	3.85733647137018	84.6428768877189	80.6865492879209	3.95632759979804	0.017641764049674	1.7641764049674	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0::O2	29	0	10
