display_order	peak_direction	within_direction_rank	importance_rank	parameter	max_abs_rho	rho_at_max_abs	O2_at_max_abs	fraction_positive	fraction_negative	sign_stability
1	Positive peak rho	1	2	p_mis_base	0.65613411253645	0.65613411253645	4.175	1	0	1
2	Positive peak rho	2	3	lam_max	0.46994906480182	0.46994906480182	0.025	1	0	1
3	Positive peak rho	3	8	O2_crit	0.278393527208259	0.278393527208259	0.975	0.925373134328358	0.0746268656716418	0.925373134328358
4	Positive peak rho	4	10	n_O	0.253866775467102	0.253866775467102	5	0.90547263681592	0.0945273631840796	0.90547263681592
5	Positive peak rho	5	13	gamma_growth	0.189060084240337	0.189060084240337	0.4	0.995024875621891	0.00497512437810945	0.995024875621891
6	Positive peak rho	6	14	buffer_n_exp	0.180442144522499	0.180442144522499	3.025	0.945273631840796	0.054726368159204	0.945273631840796
7	Positive peak rho	7	15	p_wgd	0.164703730814923	0.164703730814923	1.8	0.975124378109453	0.0248756218905473	0.975124378109453
8	Positive peak rho	8	17	k_clear	0.141465109860439	0.141465109860439	0.45	1	0	1
9	Negative peak rho	1	1	mu_hp	0.683437045798044	-0.683437045798044	0	0.835820895522388	0.164179104477612	0.835820895522388
10	Negative peak rho	2	4	buffer_beta	0.447065052260209	-0.447065052260209	2.05	0.0696517412935323	0.930348258706468	0.930348258706468
11	Negative peak rho	3	5	gamma_mu	0.428290065160261	-0.428290065160261	0.9	0	1	1
12	Negative peak rho	4	6	p_misseg	0.399841913441746	-0.399841913441746	2.125	0.144278606965174	0.855721393034826	0.855721393034826
13	Negative peak rho	5	7	o2_S0	0.35793422606949	-0.35793422606949	3.825	0.0248756218905473	0.975124378109453	0.975124378109453
14	Negative peak rho	6	9	k_o_mis	0.254246771025564	-0.254246771025564	0.45	0	1	1
15	Negative peak rho	7	11	buffer_smax	0.239008228591026	-0.239008228591026	0	0.835820895522388	0.164179104477612	0.835820895522388
16	Negative peak rho	8	12	kappa_O	0.189308167406255	-0.189308167406255	2.025	0	1	1
17	Negative peak rho	9	16	alpha_o2	0.162804064092636	-0.162804064092636	0	0.686567164179104	0.313432835820896	0.686567164179104
18	Negative peak rho	10	18	eta_o2	0.132352077312919	-0.132352077312919	2.45	0.0696517412935323	0.930348258706468	0.930348258706468
