family	quantity	oxygen_pct	N_ref	vivo_value	vitro_value	ratio
C01	post_missegregation_survival	NA	44	0.77083175968354	0.202291739874907	3.8104954762869
C01	post_missegregation_survival	NA	88	0.90898833450673	0.836162528710589	1.0870952754944
C01	survival_gradient_44_to_88	NA	NA	0.13815657482319	0.633870788835682	NA
C01	effective_missegregation_probability	0	44	0.115483567211596	0.0102969985512329	11.2152649761972
C01	proliferation_rate	0	44	0.0646922572696018	0.89500636276428	0.0722813378329467
C01	effective_missegregation_probability	0	88	0.11740845816328	0.0103973525276265	11.2921494054681
C01	proliferation_rate	0	88	0.00863337197932796	0.556085660800769	0.0155252555278908
C01	effective_missegregation_probability	1	44	0.0765277086891286	0.0102255058801363	7.4840022181972
C01	proliferation_rate	1	44	0.217371998912778	0.990897240494639	0.219368860896484
C01	effective_missegregation_probability	1	88	0.108396431982885	0.0103654997738567	10.4574245668575
C01	proliferation_rate	1	88	0.120345733281095	0.670033394100792	0.179611545246343
C01	effective_missegregation_probability	5	44	0.00650532165735428	0.00882464232284218	0.737176807780136
C01	proliferation_rate	5	44	0.23826961994403	1.28290978079511	0.185725936079743
C01	effective_missegregation_probability	5	88	0.031410801643085	0.00968695993052484	3.24258610217903
C01	proliferation_rate	5	88	0.231818082243018	1.18659204980549	0.195364600901395
C02	post_missegregation_survival	NA	44	0.660079239307256	0.202291739874907	3.26300638728717
C02	post_missegregation_survival	NA	88	0.899260583397862	0.836162528710589	1.07546147132971
C02	survival_gradient_44_to_88	NA	NA	0.239181344090606	0.633870788835682	NA
C02	effective_missegregation_probability	0	44	0.153805484362114	0.0102955134721054	14.9390785392913
C02	proliferation_rate	0	44	0.0882003400782718	0.89500636276428	0.0985471654143998
C02	effective_missegregation_probability	0	88	0.162795812858025	0.010395867448499	15.659666080249
C02	proliferation_rate	0	88	0.0176269729144452	0.556085660800769	0.0316983050580052
C02	effective_missegregation_probability	1	44	0.0609223102180515	0.0102240208010088	5.95874278855539
C02	proliferation_rate	1	44	0.227526219547022	0.990897240494639	0.229616362069436
C02	effective_missegregation_probability	1	88	0.129475561637372	0.0103640146947292	12.4927998899132
C02	proliferation_rate	1	88	0.159755953335912	0.670033394100792	0.238429837590871
C02	effective_missegregation_probability	5	44	0.00723722560322717	0.00882315724371468	0.820253499208883
C02	proliferation_rate	5	44	0.242744714038951	1.28290978079511	0.189214173648676
C02	effective_missegregation_probability	5	88	0.0353387842235484	0.00968547485139733	3.64863723934506
C02	proliferation_rate	5	88	0.234939120907581	1.18659204980549	0.197994855052411
